timestamp,label,score,x_min,y_min,x_max,y_max
4,person,0.97,292.43,78.47,366.31,205.45
4,person,0.78,296.94,76.4,415.47,254.73
4,book,0.47,260.43,119.02,288.9,197.92
4,person,0.41,342.68,56.12,440.8,249.74
4,person,0.36,360.23,111.82,420.94,256.25
4,book,0.29,261.51,114.64,325.91,199.7
4,bench,0.28,181.05,189.12,404.17,251.34
4,person,0.27,379.81,153.62,420.1,255.92
4,person,0.25,363.6,35.78,483.59,254.27
4,tv,0.13,108.67,16.06,602.59,238.6
4,bench,0.1,244.26,116.16,396.11,243.88
8,person,0.99,258.85,65.47,401.63,245.17
8,person,0.51,342.49,52.56,435.82,248.16
8,person,0.45,261.38,68.68,333.96,193.9
8,skateboard,0.39,249.56,187.78,333.69,203.85
8,skateboard,0.37,339.69,196.06,400.53,249.52
8,bicycle,0.34,178.42,183.19,342.42,256.27
8,person,0.28,182.94,65.32,320.02,238.66
8,person,0.24,339.66,122.32,400.97,250.56
8,skateboard,0.21,219.34,182.24,334.1,206.38
8,dog,0.2,191.76,198.05,308.64,250.55
8,bench,0.15,180.35,87.15,303.15,239.46
8,person,0.13,87.26,8.52,280.11,257.52
8,bench,0.12,213.86,92.0,409.02,232.14
8,bicycle,0.12,213.34,131.85,402.37,247.39
8,person,0.12,171.68,20.77,269.19,213.21
8,bench,0.12,179.51,160.86,334.21,251.1
8,person,0.11,349.82,187.69,400.63,252.64
8,remote,0.11,330.83,128.12,368.1,152.76
8,chair,0.11,234.31,111.2,364.52,226.8
8,chair,0.1,182.51,134.16,327.46,246.72
8,cell phone,0.1,330.58,128.41,365.71,152.01
8,tie,0.1,302.53,108.81,312.74,120.35
12,person,0.89,272.54,57.25,341.28,145.32
12,person,0.72,269.94,46.95,409.67,238.92
12,person,0.68,266.28,60.97,346.87,207.72
12,person,0.59,353.63,147.92,402.17,238.35
12,person,0.22,281.2,63.91,319.41,126.7
12,bench,0.21,155.72,147.62,329.98,241.44
12,person,0.19,164.66,27.54,403.19,239.12
12,person,0.15,372.61,147.42,411.94,222.12
12,person,0.12,258.07,90.91,282.36,131.06
12,person,0.12,316.62,138.42,404.54,237.44
12,handbag,0.11,340.88,181.22,384.18,218.94
12,traffic light,0.11,505.15,54.53,549.06,169.62
16,person,0.99,264.84,64.77,398.38,238.96
16,person,0.85,558.89,78.78,639.36,217.83
16,dog,0.83,338.87,135.17,423.31,247.58
16,person,0.74,198.23,64.6,328.91,243.2
16,bench,0.53,205.48,146.54,339.25,249.53
16,dog,0.46,261.24,107.42,426.02,241.95
16,person,0.45,95.35,12.2,270.4,257.04
16,chair,0.34,202.4,129.15,361.16,256.7
16,bench,0.28,215.24,119.33,407.43,256.15
16,book,0.27,198.48,14.63,415.7,89.89
16,bicycle,0.19,193.34,175.07,349.82,256.27
16,person,0.17,505.99,67.71,629.41,216.81
16,chair,0.15,244.32,128.11,317.89,209.31
16,bench,0.15,72.86,88.25,443.37,260.54
16,umbrella,0.15,235.52,23.4,406.09,108.89
16,person,0.14,177.15,47.92,421.25,240.06
16,fork,0.14,346.68,12.85,371.92,31.44
16,person,0.14,249.53,72.08,353.25,212.85
16,person,0.12,512.39,67.76,562.96,185.15
16,chair,0.1,82.45,68.42,225.19,264.3
16,bench,0.1,179.97,103.33,355.71,232.12
16,person,0.1,95.73,93.77,219.85,258.6
20,person,1.0,201.98,21.67,402.2,266.07
20,oven,0.97,343.38,60.87,443.09,198.9
20,person,0.91,7.42,118.27,97.88,264.79
20,oven,0.28,290.77,19.45,455.18,204.94
20,bench,0.18,162.94,78.19,549.4,248.38
20,bench,0.12,137.92,82.73,271.97,254.21
24,person,0.99,51.73,1.78,449.18,272.92
24,person,0.82,41.41,14.59,211.67,271.73
28,person,0.98,151.52,10.95,484.94,273.17
28,person,0.39,129.85,88.77,217.46,265.85
28,person,0.38,61.16,64.59,220.43,269.0
28,person,0.11,138.02,106.85,196.83,217.04
28,person,0.11,43.87,20.2,341.95,276.0
32,person,0.99,202.73,30.7,384.24,268.24
32,person,0.32,215.76,39.02,551.88,273.65
32,traffic light,0.22,111.86,57.65,129.33,78.08
32,person,0.22,217.55,85.08,257.88,201.3
32,bench,0.18,358.09,76.93,462.37,127.78
32,person,0.17,145.35,91.58,273.94,272.24
32,person,0.13,332.82,102.29,440.56,260.05
36,train,0.95,0.1,6.78,228.95,183.98
36,train,0.67,5.36,3.35,422.41,253.12
36,person,0.16,0.98,201.79,49.43,273.74
40,person,0.99,212.79,31.14,467.25,270.42
40,person,0.95,107.16,58.46,206.86,258.92
40,person,0.91,107.3,60.47,196.33,159.72
40,train,0.66,106.34,12.88,629.7,155.11
40,train,0.6,106.31,5.91,312.32,156.12
40,person,0.46,127.81,25.8,381.19,275.7
40,train,0.4,366.73,45.73,628.56,135.26
40,train,0.38,78.79,0.0,360.8,236.94
40,person,0.26,386.37,97.86,444.76,163.02
40,bus,0.17,97.67,1.39,318.53,194.47
40,person,0.15,112.29,57.57,248.58,192.48
40,person,0.14,117.16,135.91,235.61,269.94
40,person,0.11,422.08,135.46,500.69,272.93
40,train,0.1,253.94,31.42,636.07,254.39
44,person,1.0,259.14,43.5,436.18,268.96
44,person,0.94,165.09,65.74,247.28,257.68
44,person,0.91,94.04,0.0,198.76,268.69
44,person,0.86,261.09,72.98,326.05,144.15
44,person,0.75,120.29,48.09,233.92,273.05
44,person,0.72,406.17,81.41,498.71,268.86
44,train,0.62,125.82,2.04,544.63,176.64
44,person,0.49,185.41,67.51,316.1,268.13
44,train,0.47,99.59,0.0,353.53,247.42
44,person,0.46,9.47,54.65,66.12,171.67
44,train,0.46,158.68,6.65,337.44,148.92
44,bus,0.41,23.95,0.0,343.99,212.52
44,person,0.39,242.56,82.85,326.65,267.56
44,person,0.38,429.69,13.82,586.44,259.88
44,person,0.36,174.82,139.4,256.8,266.76
44,person,0.36,10.61,42.91,115.39,272.24
44,person,0.32,315.88,11.4,556.44,269.89
44,person,0.3,11.58,54.09,57.48,126.74
44,person,0.3,267.49,100.51,322.05,147.95
44,boat,0.25,118.64,3.21,583.94,238.22
44,train,0.24,351.45,22.48,586.22,186.08
44,bus,0.21,145.52,3.65,352.34,165.92
44,bus,0.19,127.98,4.02,496.45,196.81
44,person,0.18,287.25,19.09,408.91,217.97
44,person,0.17,140.86,22.02,388.31,273.05
44,train,0.17,9.23,0.0,290.19,156.11
44,person,0.17,168.4,66.38,235.76,182.26
44,person,0.15,87.8,1.47,195.35,137.66
44,person,0.14,178.94,177.11,238.27,270.81
44,person,0.14,69.29,94.07,124.19,272.88
44,person,0.12,353.34,58.12,473.72,272.28
48,train,0.97,15.93,38.72,312.83,207.4
48,person,0.95,277.26,138.51,299.02,210.02
48,person,0.94,315.77,141.13,333.4,209.92
48,person,0.9,327.01,143.13,344.22,210.2
48,train,0.89,551.53,75.17,639.55,174.57
48,train,0.87,155.21,117.95,543.92,169.18
48,person,0.86,300.41,148.25,317.28,209.11
48,train,0.77,320.57,127.81,546.3,169.13
48,train,0.76,41.69,75.79,596.59,190.06
48,person,0.76,321.24,140.59,329.4,157.23
48,person,0.56,331.63,138.68,339.88,150.69
48,person,0.36,291.16,146.56,309.4,208.48
48,person,0.27,309.79,139.99,320.65,208.47
48,person,0.23,320.34,142.1,330.55,192.46
48,person,0.2,274.17,135.71,286.88,205.7
48,person,0.2,274.93,137.52,283.21,159.42
48,person,0.19,332.15,141.17,338.12,153.18
48,person,0.19,324.89,144.91,335.18,203.09
48,bus,0.16,312.89,129.6,553.09,168.1
48,train,0.15,285.69,120.94,353.69,167.08
48,person,0.15,328.95,145.58,339.05,199.91
48,person,0.15,286.34,139.43,320.74,210.28
48,person,0.14,275.2,142.51,285.02,182.56
48,elephant,0.13,314.65,161.12,344.0,211.94
48,boat,0.12,166.05,191.67,404.91,272.71
48,person,0.12,336.44,144.92,344.76,201.78
48,person,0.12,298.46,154.39,310.12,206.7
48,person,0.1,275.27,133.67,288.14,157.55
52,person,0.99,290.26,36.71,406.93,215.83
52,person,0.84,249.82,55.48,313.28,266.91
52,person,0.81,367.04,27.8,519.68,226.94
52,person,0.58,263.01,55.09,318.16,169.99
52,person,0.54,412.09,28.69,520.78,162.1
52,refrigerator,0.3,438.25,1.92,631.24,205.5
52,person,0.28,276.17,30.64,497.7,254.78
52,person,0.22,255.65,55.25,391.42,265.81
52,cell phone,0.16,373.49,29.61,387.58,61.81
52,cup,0.14,440.19,21.33,505.87,99.78
52,person,0.11,364.86,16.26,436.22,131.51
56,person,0.99,334.11,36.94,503.5,271.16
56,person,0.9,200.46,38.9,353.64,262.02
56,person,0.73,104.33,83.41,233.2,266.26
56,person,0.52,176.88,35.37,466.85,275.05
56,person,0.51,258.13,34.29,343.43,230.69
56,person,0.48,121.26,78.72,336.41,273.74
56,person,0.45,410.36,58.27,510.96,267.88
56,person,0.43,13.81,213.61,76.29,271.04
56,person,0.37,379.2,37.66,516.48,159.96
56,person,0.32,138.6,106.9,259.97,249.39
56,person,0.31,271.82,59.67,339.63,152.8
56,person,0.24,23.31,100.72,262.66,272.54
56,person,0.21,322.74,55.27,395.56,269.04
56,person,0.19,410.71,51.27,510.57,111.57
56,person,0.17,339.37,38.4,456.27,191.24
56,person,0.14,232.05,39.23,332.97,158.49
56,person,0.14,310.9,96.52,344.89,241.18
56,person,0.14,152.05,189.16,364.36,272.24
60,person,0.94,32.06,13.12,344.28,271.75
60,person,0.57,138.19,0.0,616.0,274.58
60,person,0.2,116.85,95.59,318.57,266.08
60,donut,0.13,137.96,91.31,317.08,270.2
64,person,0.98,456.79,45.3,598.14,268.52
64,person,0.98,343.04,110.5,445.22,258.6
64,person,0.91,389.52,98.66,528.79,269.94
64,person,0.77,141.45,86.32,318.88,256.17
64,tennis racket,0.75,47.34,144.67,127.62,195.56
64,person,0.64,176.88,98.54,430.33,262.4
64,person,0.48,448.29,65.42,535.64,235.06
64,person,0.37,311.06,110.68,342.07,137.67
64,person,0.35,42.51,80.55,289.14,266.1
64,tennis racket,0.34,111.69,98.56,179.02,159.27
64,tennis racket,0.33,199.32,187.89,274.73,249.52
64,person,0.27,34.76,116.35,196.68,264.83
64,person,0.24,140.33,63.53,564.48,239.26
64,person,0.22,204.11,82.85,313.83,210.33
64,tennis racket,0.19,58.94,151.01,110.81,189.49
64,person,0.17,176.54,168.59,278.33,239.21
64,tennis racket,0.17,43.24,101.63,204.52,209.37
64,surfboard,0.16,200.69,200.53,263.75,249.64
64,bench,0.13,9.12,141.82,110.94,205.5
64,person,0.12,309.91,110.18,354.28,151.5
64,person,0.11,453.04,104.54,525.17,182.39
68,person,0.99,158.06,0.0,549.98,268.95
68,train,0.61,2.27,126.19,209.86,255.42
68,person,0.22,237.08,1.93,452.62,241.3
68,potted plant,0.12,125.77,78.82,564.21,276.0
72,person,1.0,159.05,8.56,483.06,274.45
72,cell phone,0.57,372.56,165.51,411.61,208.33
72,person,0.26,337.16,25.14,433.5,262.4
72,person,0.19,173.67,69.92,248.98,256.66
72,person,0.12,304.9,19.72,551.41,276.0
72,cell phone,0.11,375.32,171.15,390.03,206.98
76,person,1.0,220.5,28.33,377.5,270.86
76,person,0.99,54.21,44.95,128.77,263.86
76,person,0.34,186.33,176.24,219.27,251.29
76,person,0.29,47.34,35.18,222.58,275.28
76,vase,0.19,58.45,139.67,134.5,271.25
76,handbag,0.17,332.92,114.6,370.96,215.48
80,person,1.0,216.71,8.44,401.77,268.21
80,refrigerator,0.66,338.48,0.9,471.02,270.94
80,train,0.38,2.22,0.0,394.8,272.88
80,refrigerator,0.2,40.93,0.0,434.07,276.0
80,refrigerator,0.17,369.1,3.44,620.28,270.0
80,train,0.11,326.32,0.0,640.0,275.67
84,person,0.99,238.19,39.89,454.11,268.6
84,person,0.54,397.84,76.34,608.38,276.0
84,person,0.41,493.99,103.0,607.82,272.26
84,person,0.26,248.45,33.08,374.17,186.68
84,dog,0.25,303.63,85.61,562.49,269.5
84,person,0.23,273.01,34.57,579.4,252.49
84,person,0.15,340.81,81.76,366.01,129.96
84,chair,0.15,461.08,6.96,608.52,200.15
84,person,0.11,209.94,44.98,360.72,274.37
84,train,0.11,12.52,0.0,372.05,276.0
88,person,0.99,244.92,25.04,424.11,269.21
88,person,0.55,227.39,45.91,335.06,266.6
88,person,0.14,57.84,11.79,398.53,276.0
88,person,0.1,269.36,22.0,395.95,185.03
92,person,0.98,215.04,13.38,421.94,265.05
92,chair,0.56,35.56,151.46,61.13,271.79
92,train,0.29,7.66,0.0,351.89,274.85
92,chair,0.28,36.88,153.63,53.63,239.29
92,person,0.16,226.78,76.69,272.75,137.98
92,person,0.14,221.71,34.07,335.73,246.85
92,person,0.11,239.79,70.69,277.65,126.27
96,person,0.99,181.09,9.4,429.58,269.14
96,vase,0.79,476.67,143.2,516.09,267.61
96,remote,0.64,296.82,134.17,321.5,146.83
96,person,0.4,177.64,73.77,209.14,172.08
96,person,0.22,183.29,30.21,322.33,251.53
96,refrigerator,0.19,393.52,9.84,526.92,274.24
96,person,0.17,221.37,29.73,303.0,171.6
96,vase,0.16,455.23,120.0,520.93,270.02
96,train,0.16,0.0,0.0,383.48,271.88
96,backpack,0.15,188.37,110.17,394.07,258.42
96,person,0.13,180.9,74.14,210.46,107.12
100,person,1.0,220.1,44.54,397.28,269.44
100,person,0.58,80.01,62.57,146.55,269.25
100,person,0.35,199.27,99.27,222.7,253.95
100,vase,0.27,50.54,61.74,126.54,271.31
100,refrigerator,0.2,369.99,5.8,637.93,273.67
100,train,0.17,336.49,0.0,640.0,276.0
100,train,0.14,2.48,0.0,433.14,276.0
100,person,0.14,200.79,147.0,218.59,246.72
100,person,0.11,56.01,69.84,232.3,266.35
104,person,0.98,145.37,35.24,349.37,244.63
104,backpack,0.37,136.13,208.28,269.6,257.35
104,tv,0.25,66.24,54.54,120.32,159.06
104,handbag,0.24,138.75,208.71,269.7,256.77
104,handbag,0.22,66.16,192.57,158.18,259.17
104,person,0.13,262.13,193.86,363.16,249.98
104,person,0.11,68.7,74.16,113.87,154.94
108,person,0.98,157.95,27.94,360.71,260.42
108,tv,0.29,86.56,200.13,162.79,268.67
108,cup,0.22,90.24,199.26,159.23,267.34
108,backpack,0.22,147.99,209.37,290.16,267.41
108,handbag,0.2,148.62,210.36,291.46,266.21
108,laptop,0.19,88.96,197.92,164.08,271.27
112,person,0.99,150.95,17.72,441.41,273.94
112,tv,0.6,46.77,195.44,159.42,272.5
112,laptop,0.21,48.11,196.53,166.69,273.92
112,bottle,0.19,583.79,33.19,618.98,242.7
112,clock,0.11,90.61,14.83,202.28,113.2
112,refrigerator,0.11,24.9,9.96,227.82,266.01
112,tv,0.1,89.09,14.04,204.42,113.64
116,person,1.0,39.55,19.99,305.92,269.76
116,potted plant,0.11,1.49,176.63,69.84,271.37
120,person,1.0,305.93,5.84,614.6,273.97
120,cat,0.14,499.51,26.0,621.21,192.93
120,person,0.1,313.32,8.7,435.99,276.0
124,person,0.99,291.92,38.86,504.1,267.91
124,person,0.88,472.55,141.35,580.87,264.65
124,person,0.7,126.97,209.03,234.85,270.25
124,person,0.59,386.52,98.38,577.35,270.98
124,refrigerator,0.48,293.36,5.48,500.62,191.72
124,wine glass,0.47,261.38,156.55,399.34,271.77
124,chair,0.41,214.06,168.13,283.59,256.49
124,boat,0.26,559.37,215.83,638.52,258.97
124,book,0.22,27.61,211.56,135.23,247.09
124,chair,0.2,126.76,207.64,229.35,264.95
124,refrigerator,0.19,255.95,0.0,609.09,255.77
124,bottle,0.14,309.77,16.27,337.92,43.48
124,person,0.11,98.36,37.88,492.32,267.81
124,wine glass,0.1,217.66,170.09,281.09,264.87
128,person,0.99,166.48,0.0,531.62,265.87
128,person,0.47,403.32,8.79,504.24,127.86
128,person,0.34,338.34,21.42,517.53,267.02
128,person,0.27,163.77,19.9,351.5,269.37
128,person,0.24,237.27,6.02,418.41,267.44
132,person,0.99,297.65,66.24,562.35,268.57
132,person,0.99,260.13,3.34,453.53,270.19
132,person,0.76,223.63,78.64,362.79,271.62
132,cell phone,0.59,369.24,110.85,379.03,125.53
132,person,0.51,207.9,81.44,301.14,273.59
132,person,0.31,63.9,15.6,452.25,272.76
132,person,0.29,399.57,73.5,550.28,248.56
132,cow,0.24,1.54,157.93,228.01,272.86
132,person,0.17,6.17,107.78,266.94,273.28
132,cell phone,0.13,368.49,111.43,374.72,124.91
136,person,1.0,175.96,13.88,479.58,273.29
136,person,0.94,42.03,219.26,161.1,273.22
136,bird,0.49,182.02,85.46,290.05,190.27
136,person,0.28,174.93,75.76,299.62,184.01
136,boat,0.2,131.51,122.74,211.72,180.44
136,boat,0.15,6.31,99.18,211.4,203.2
136,person,0.14,173.69,24.51,352.94,188.17
136,backpack,0.11,185.4,86.51,289.26,184.98
140,person,0.99,95.73,11.85,354.73,270.75
140,person,0.9,9.91,108.31,199.87,266.36
140,person,0.62,398.91,138.3,588.59,266.72
140,person,0.59,69.02,113.01,189.46,217.76
140,person,0.39,145.56,15.49,516.75,268.32
140,person,0.34,214.45,26.6,363.49,267.6
140,person,0.3,80.67,85.91,251.35,267.01
140,dog,0.21,390.75,145.33,590.76,270.17
140,cat,0.16,383.93,140.1,590.36,270.75
140,refrigerator,0.14,235.56,0.0,462.34,207.61
144,person,1.0,50.09,38.88,262.63,275.31
144,person,1.0,365.03,7.37,629.58,274.73
144,person,0.94,505.73,97.97,631.23,270.93
144,cell phone,0.23,526.51,135.58,543.42,159.99
144,elephant,0.23,0.12,51.66,10.14,133.29
144,person,0.22,0.0,49.96,10.95,134.06
144,bench,0.2,328.8,92.64,402.18,131.58
144,cell phone,0.13,520.07,132.89,558.99,160.49
144,cell phone,0.12,498.36,112.08,525.11,139.77
144,tie,0.1,163.34,159.29,205.71,203.47
148,person,0.99,435.47,2.8,631.93,273.35
148,person,0.94,188.54,36.42,455.14,253.22
148,person,0.83,304.83,4.75,476.13,229.17
148,person,0.61,267.07,2.16,566.91,266.84
148,bench,0.42,12.93,48.98,233.64,139.37
148,person,0.33,332.99,4.77,442.52,165.27
148,person,0.25,177.11,56.57,364.67,221.45
148,bench,0.18,91.97,57.35,220.71,129.43
148,person,0.13,78.41,45.89,355.75,272.96
148,bird,0.12,140.72,158.41,206.21,225.03
152,person,0.99,93.22,116.19,247.95,271.07
152,person,0.64,65.07,27.55,610.98,270.79
152,person,0.39,89.35,96.4,414.81,275.47
152,person,0.31,129.48,153.02,227.95,272.33
156,person,0.36,526.27,232.42,559.9,273.57
160,person,0.97,187.57,5.63,397.93,269.67
160,person,0.77,503.19,78.33,602.08,265.4
160,person,0.65,232.68,4.91,367.44,187.95
160,person,0.37,254.42,4.33,480.56,263.56
160,person,0.1,285.05,2.07,356.9,73.62
160,person,0.1,322.58,5.56,460.79,123.93
160,person,0.1,316.51,2.99,428.8,232.48
164,person,1.0,54.31,71.52,138.01,263.2
164,person,0.99,228.65,41.75,374.37,269.3
164,person,0.94,364.32,110.99,456.55,266.99
164,person,0.84,199.41,53.11,294.15,267.4
164,clock,0.82,190.11,14.33,221.13,59.03
164,handbag,0.8,112.31,159.1,130.41,237.46
164,person,0.58,267.63,63.5,439.26,270.85
164,person,0.51,129.89,52.35,274.15,275.39
164,book,0.4,440.29,163.75,518.2,189.15
164,person,0.39,271.34,40.99,365.22,184.59
164,person,0.17,188.14,54.34,277.74,185.91
164,tie,0.16,291.31,102.18,307.1,125.31
164,person,0.15,414.73,130.97,475.07,271.59
164,person,0.15,75.04,54.4,206.97,274.59
164,tv,0.1,516.38,172.49,597.85,259.39
168,person,0.81,171.35,54.67,362.32,200.61
168,person,0.36,135.37,59.7,443.7,248.14
168,car,0.15,388.08,158.16,435.56,181.25
168,car,0.14,402.73,160.18,433.45,175.82
172,person,1.0,116.52,0.0,444.15,267.47
172,person,0.4,217.61,0.1,391.38,237.75
172,refrigerator,0.3,484.9,0.0,633.01,244.01
172,refrigerator,0.24,316.0,0.0,632.39,270.86
172,person,0.24,118.22,79.43,305.1,265.05
172,chair,0.11,3.41,65.34,78.41,239.58
176,person,0.98,257.66,21.54,590.16,271.5
176,person,0.93,225.18,57.32,398.14,267.51
176,person,0.34,394.98,29.95,630.09,265.98
176,bird,0.26,207.32,207.72,258.56,238.47
176,person,0.18,255.42,64.91,376.67,180.31
176,person,0.14,435.74,142.91,621.66,270.22
176,person,0.12,349.01,18.66,505.6,261.33
